repetition_id;tick;patch_id;group_id;group_mode;sows;boars;female_juveniles;male_juveniles;female_piglets;male_piglets;travelled_distance
1;186;439;0;settled;14;13;7;3;4;7;0
1;187;439;0;settled;14;13;7;3;4;7;0
1;188;439;0;settled;14;13;7;3;4;7;0
1;189;439;0;settled;14;13;7;3;4;7;0
1;190;439;0;settled;14;13;7;3;4;7;0
1;191;439;0;settled;14;13;7;3;4;7;0
1;192;439;0;settled;4;13;1;3;4;7;0
1;193;439;0;settled;4;13;1;3;4;7;0
1;193;385;129;settled;10;0;6;0;0;0;1
1;194;439;0;settled;4;13;1;3;4;7;0
1;194;385;129;settled;10;0;6;0;0;0;1
1;195;439;0;settled;2;13;1;3;4;7;0
1;195;385;129;settled;10;0;6;0;0;0;1
1;196;439;0;settled;2;13;1;3;4;7;0
1;196;438;130;settled;2;0;0;0;0;0;1
1;196;385;129;settled;1;0;0;0;0;0;1
1;197;439;0;settled;2;13;1;3;4;7;0
1;197;336;131;female_moving;9;0;6;0;0;0;1
1;197;385;129;settled;1;0;0;0;0;0;1
1;197;438;130;settled;2;0;0;0;0;0;1
1;198;439;0;settled;2;13;1;3;4;7;0
1;198;385;129;settled;10;0;6;0;0;0;1
1;198;438;130;settled;2;0;0;0;0;0;1
1;198;385;131;settled;9;0;6;0;0;0;2
1;199;439;0;settled;2;13;1;3;4;7;0
1;199;336;132;settled;0;0;0;0;0;0;0
1;199;385;129;settled;10;0;6;0;0;0;1
1;199;438;130;settled;2;0;0;0;0;0;1
1;200;439;0;settled;2;13;1;3;4;7;0
1;200;336;132;settled;0;0;0;0;0;0;0
1;200;385;129;settled;10;0;6;0;0;0;1
1;200;438;130;settled;2;0;0;0;0;0;1
1;201;439;0;settled;2;13;1;3;4;7;0
1;201;336;132;settled;0;0;0;0;0;0;0
1;201;385;129;settled;10;0;6;0;0;0;1
1;201;438;130;settled;2;0;0;0;0;0;1
1;202;439;0;settled;2;13;1;3;4;7;0
1;202;336;132;settled;0;0;0;0;0;0;0
1;202;385;129;settled;10;0;6;0;0;0;1
1;202;438;130;settled;2;0;0;0;0;0;1
1;203;439;0;settled;2;13;1;3;4;7;0
1;203;336;132;settled;0;0;0;0;0;0;0
1;203;385;129;settled;10;0;6;0;0;0;1
1;203;438;130;settled;2;0;0;0;0;0;1
1;204;439;0;settled;2;13;1;3;4;7;0
1;204;336;132;settled;0;0;0;0;0;0;0
1;204;385;129;settled;10;0;6;0;0;0;1
1;204;438;130;settled;2;0;0;0;0;0;1
1;205;439;0;settled;2;13;1;3;4;7;0
1;205;336;132;settled;0;0;0;0;0;0;0
1;205;385;129;settled;10;0;6;0;0;0;1
